Name,Slug,Phone,Website,Type,Image,Country,URLPattern,DisplayName
Global Express,global-express,+1-800-555-0123,https://example.com,express,https://example.com/logo.svg,US,https://example.com/track?tracking_id={tracking_id},Global Express
Worldwide Shipping,worldwide-shipping,+1-800-555-0124,https://example.com,express,https://example.com/logo.svg,US,https://example.com/track?tracking_id={tracking_id},Worldwide Shipping
International Parcel,international-parcel,+1-800-555-0125,https://example.com,globalpost,https://example.com/logo.svg,US,https://example.com/track?tracking_id={tracking_id},International Parcel
Global Post,global-post,+1-800-555-0126,https://example.com,globalpost,https://example.com/logo.svg,US,https://example.com/track?tracking_id={tracking_id},Global Post
Universal Mail,universal-mail,+1-800-555-0127,https://example.com,globalpost,https://example.com/logo.svg,US,https://example.com/track?tracking_id={tracking_id},Universal Mail
Continental Express,continental-express,+86-10-555-0123,https://example.com,globalpost,https://example.com/logo.svg,CN,https://example.com/track?tracking_id={tracking_id},Continental Express
Southern Shipping,southern-shipping,+61-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,AU,https://example.com/track?tracking_id={tracking_id},Southern Shipping
Northern Parcel,northern-parcel,+1-800-555-0128,https://example.com,globalpost,https://example.com/logo.svg,CA,https://example.com/track?tracking_id={tracking_id},Northern Parcel
Eastern Delivery,eastern-delivery,+91-11-555-0123,https://example.com,globalpost,https://example.com/logo.svg,IN,https://example.com/track?tracking_id={tracking_id},Eastern Delivery
Western Express,western-express,+81-3-555-0123,https://example.com,globalpost,https://example.com/logo.svg,JP,https://example.com/track?tracking_id={tracking_id},Western Express
Central Shipping,central-shipping,+82-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,KR,https://example.com/track?tracking_id={tracking_id},Central Shipping
Tropical Mail,tropical-mail,+65-65-555-0123,https://example.com,globalpost,https://example.com/logo.svg,SG,https://example.com/track?tracking_id={tracking_id},Tropical Mail
Pacific Shipping,pacific-shipping,+64-9-555-0123,https://example.com,globalpost,https://example.com/logo.svg,NZ,https://example.com/track?tracking_id={tracking_id},Pacific Shipping
Atlantic Parcel,atlantic-parcel,+55-11-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BR,https://example.com/track?tracking_id={tracking_id},Atlantic Parcel
Arctic Delivery,arctic-delivery,+52-55-555-0123,https://example.com,globalpost,https://example.com/logo.svg,MX,https://example.com/track?tracking_id={tracking_id},Arctic Delivery
Euro Express,euro-express,+7-495-555-0123,https://example.com,globalpost,https://example.com/logo.svg,RU,https://example.com/track?tracking_id={tracking_id},Euro Express
Continental Post,continental-post,+49-30-555-0123,https://example.com,express,https://example.com/logo.svg,DE,https://example.com/track?tracking_id={tracking_id},Continental Post
Mediterranean Mail,mediterranean-mail,+33-1-555-0123,https://example.com,globalpost,https://example.com/logo.svg,FR,https://example.com/track?tracking_id={tracking_id},Mediterranean Mail
Alpine Express,alpine-express,+39-06-555-0123,https://example.com,globalpost,https://example.com/logo.svg,IT,https://example.com/track?tracking_id={tracking_id},Alpine Express
Iberian Shipping,iberian-shipping,+34-91-555-0123,https://example.com,globalpost,https://example.com/logo.svg,ES,https://example.com/track?tracking_id={tracking_id},Iberian Shipping
Baltic Parcel,baltic-parcel,+31-20-555-0123,https://example.com,globalpost,https://example.com/logo.svg,NL,https://example.com/track?tracking_id={tracking_id},Baltic Parcel
Benelux Delivery,benelux-delivery,+32-2-555-0123,https://example.com,globalpost,https://example.com/logo.svg,BE,https://example.com/track?tracking_id={tracking_id},Benelux Delivery
